ID,RET
0,True
5,True
7,False
26,False
27,True
36,True
37,False
40,False
43,False
48,True
52,False
75,True
80,False
81,True
93,True
96,False
102,False
109,False
115,False
118,True
123,False
127,False
128,False
130,False
133,False
134,False
144,False
145,True
155,False
161,False
162,False
166,False
179,False
189,False
198,False
202,False
206,False
210,False
212,False
216,True
221,True
228,True
230,True
233,True
237,False
239,True
243,True
250,True
252,False
255,True
264,True
271,True
275,True
277,True
286,False
292,True
297,False
303,False
305,True
310,True
313,True
327,True
331,True
336,True
338,True
341,False
346,False
347,False
355,False
365,False
375,False
379,False
380,False
387,False
388,True
393,True
394,False
404,False
405,False
412,False
414,False
415,True
416,True
421,False
424,False
428,True
431,False
434,True
435,True
443,False
447,True
448,True
450,True
452,False
456,True
457,True
463,True
464,True
465,True
467,True
472,True
473,True
474,False
475,True
477,True
478,True
488,True
489,True
499,False
504,False
507,True
511,True
512,True
520,False
521,True
522,False
532,False
533,True
534,False
535,False
549,True
553,False
557,True
558,False
561,True
562,True
563,True
566,False
569,True
571,False
578,False
580,True
581,False
583,True
587,True
590,True
592,True
593,False
594,False
597,False
598,False
601,True
604,False
606,False
608,False
609,False
611,True
613,True
617,True
623,False
624,False
628,True
634,False
638,False
643,False
645,True
655,True
656,True
663,False
666,False
670,False
671,False
675,False
680,True
683,False
697,False
710,False
716,True
717,False
722,False
723,False
726,True
731,True
739,False
743,True
744,True
754,False
756,False
764,False
772,False
773,False
779,True
781,False
788,False
792,True
797,True
799,True
802,True
807,False
810,True
812,False
814,True
815,False
821,False
822,False
834,True
835,False
838,False
848,True
850,True
854,True
855,False
858,False
859,True
869,True
871,True
872,True
873,False
889,True
890,False
895,True
908,False
910,False
911,False
913,True
916,True
922,False
925,False
926,True
938,True
946,True
947,True
948,False
952,True
955,True
960,False
963,False
969,False
970,False
971,True
972,True
979,True
982,False
983,False
984,False
985,False
987,False
991,False
995,False
998,True
1004,False
1007,False
1010,True
1014,False
1018,True
1019,False
1028,False
1037,False
1038,False
1040,True
1041,True
1042,False
1043,False
1046,True
1053,False
1056,True
1058,False
1059,False
1064,True
1072,False
1073,True
1074,False
1081,False
1084,False
1085,True
1087,True
1088,False
1093,False
1094,False
1106,True
1110,False
1112,False
1115,True
1119,False
1124,False
1127,False
1136,False
1138,True
1140,False
1146,False
1148,False
1156,False
1167,False
1170,False
1171,False
1172,True
1177,False
1192,True
1206,False
1207,False
1209,False
1211,True
1214,False
1224,False
1233,True
1240,True
1245,False
1247,True
1250,False
1265,True
1266,True
1270,False
1277,False
1290,False
1301,True
1307,False
1309,False
1314,False
1322,False
1323,True
1326,True
1331,False
1345,False
1350,True
1351,True
1354,False
1358,False
1361,False
1364,True
1367,False
1370,False
1378,False
1379,True
1385,True
1388,False
1390,False
1391,False
1417,False
1423,False
1428,True
1432,False
1437,False
1439,False
1440,False
1449,False
1451,False
1456,True
1459,False
1460,False
1464,False
1469,True
1470,True
1477,False
1478,False
1487,True
1490,True
1495,False
1499,True
1500,False
1501,False
1503,False
1508,True
1510,True
1513,True
1518,True
1521,False
1526,False
1528,False
1531,False
1534,True
1535,False
1537,False
1538,False
1544,True
1549,True
1553,False
1556,False
1560,True
1574,False
1575,False
1576,True
1579,True
1580,True
1590,False
1600,False
1605,True
1608,False
1617,False
1619,False
1624,True
1626,False
1630,False
1631,True
1636,False
1641,False
1643,False
1644,False
1648,False
1650,False
1651,True
1654,True
1655,False
1659,True
1664,False
1665,True
1666,True
1669,False
1670,False
1674,False
1677,False
1682,False
1685,True
1687,True
1689,False
1692,True
1695,True
1697,False
1699,False
1701,True
1704,False
1706,False
1707,False
1722,True
1727,False
1732,False
1740,False
1743,False
1744,False
1748,True
1753,True
1754,False
1755,False
1759,False
1760,False
1766,True
1767,True
1769,False
1772,True
1773,False
1774,False
1786,False
1787,True
1790,False
1791,False
1797,False
1800,True
1804,False
1810,True
1825,False
1843,True
1845,False
1855,True
1856,True
1859,False
1870,False
1874,False
1886,False
1888,False
1902,False
1903,True
1908,True
1910,True
1916,False
1921,True
1925,False
1931,False
1936,True
1938,False
1952,True
1958,True
1959,False
1965,True
1967,True
1970,False
1971,False
1972,False
1977,False
1980,False
1983,False
1985,False
1992,False
1994,True
2000,False
2012,False
2013,False
2019,False
2021,False
2022,False
2024,False
2025,False
2026,True
2028,True
2031,True
2035,True
2038,False
2042,True
2043,True
2046,True
2048,True
2052,False
2057,True
2059,False
2064,False
2068,False
2073,False
2076,False
2084,False
2086,True
2095,False
2096,False
2098,False
2102,False
2103,False
2109,True
2111,False
2115,False
2118,True
2123,False
2124,False
2125,True
2135,False
2145,False
2147,True
2149,False
2154,True
2155,True
2157,False
2160,False
2165,False
2169,True
2170,False
2171,True
2172,False
2177,False
2178,True
2183,False
2184,True
2197,False
2203,False
2209,True
2213,False
2217,False
2218,True
2227,False
2228,False
2232,False
2238,True
2240,True
2243,False
2247,False
2255,False
