ID,RET
418595,False
418596,True
418597,True
418598,True
418599,True
418600,True
418601,True
418602,False
418603,False
418604,False
418605,True
418606,True
418607,False
418608,False
418609,False
418610,True
418611,False
418612,True
418613,True
418614,True
418615,True
418616,True
418617,True
418618,True
418619,False
418620,True
418621,False
418622,True
418623,True
418624,False
418625,False
418626,False
418627,True
418628,False
418629,False
418630,True
418631,True
418632,True
418633,False
418634,False
418635,True
418636,False
418637,True
418638,True
418639,True
418640,False
418641,False
418642,True
418643,True
418644,True
418645,True
418646,False
418647,True
418648,True
418649,True
418650,False
418651,False
418652,True
418653,False
418654,True
418655,True
418656,False
418657,True
418658,True
418659,True
418660,True
418661,True
418662,False
418663,False
418664,True
418665,True
418666,True
418667,True
418668,False
418669,True
418670,True
418671,True
418672,False
418673,True
418674,True
418675,True
418676,True
418677,False
418678,False
418679,True
418680,True
418681,True
418682,False
418683,False
418684,True
418685,True
418686,True
418687,False
418688,False
418689,False
418690,False
418691,True
418692,True
418693,True
418694,False
418695,True
418696,True
418697,False
418698,False
418699,True
418700,False
418701,False
418702,False
418703,True
418704,False
418705,False
418706,True
418707,True
418708,True
418709,True
418710,False
418711,False
418712,False
418713,True
418714,True
418715,True
418716,True
418717,True
418718,True
418719,False
418720,True
418721,False
418722,True
418723,True
418724,True
418725,False
418726,True
418727,True
418728,True
418729,True
418730,False
418731,False
418732,False
418733,False
418734,True
418735,False
418736,True
418737,False
418738,False
418739,True
418740,True
418741,True
418742,True
418743,True
418744,True
418745,True
418746,True
418747,False
418748,True
418749,True
418750,True
418751,False
418752,True
418753,False
418754,True
418755,True
418756,True
418757,False
418758,False
418759,False
418760,False
418761,False
418762,True
418763,False
418764,True
418765,True
418766,True
418767,True
418768,True
418769,True
418770,True
418771,True
418772,False
418773,False
418774,True
418775,True
418776,False
418777,True
418778,False
418779,False
418780,True
418781,True
418782,True
418783,False
418784,True
418785,True
418786,True
418787,True
418788,False
418789,True
418790,True
418791,True
418792,True
418793,True
418794,True
418795,True
418796,False
418797,False
418798,False
418799,False
418800,True
418801,True
418802,True
418803,True
418804,True
418805,False
418806,False
418807,False
418808,True
418809,True
418810,True
418811,True
418812,False
418813,False
418814,False
418815,True
418816,True
418817,True
418818,False
418819,True
418820,False
418821,False
418822,False
418823,False
418824,True
418825,True
418826,True
418827,False
418828,True
418829,True
418830,False
418831,False
418832,True
418833,True
418834,True
418835,False
418836,True
418837,True
418838,True
418839,True
418840,True
418841,True
418842,True
418843,True
418844,False
418845,True
418846,False
418847,True
418848,True
418849,False
418850,True
418851,True
418852,True
418853,True
418854,True
418855,False
418856,False
418857,True
418858,False
418859,True
418860,True
418861,False
418862,True
418863,False
418864,True
418865,True
418866,False
418867,False
418868,True
418869,True
418870,True
418871,False
418872,True
418873,True
418874,True
418875,False
418876,False
418877,True
418878,True
418879,True
418880,True
418881,True
418882,False
418883,True
418884,False
418885,False
418886,False
418887,False
418888,False
418889,True
418890,False
418891,True
418892,False
418893,True
418894,True
418895,True
418896,False
418897,False
418898,False
418899,True
418900,True
418901,False
418902,False
418903,True
418904,True
418905,False
418906,True
418907,True
418908,True
418909,False
418910,True
418911,True
418912,True
418913,True
418914,True
418915,True
418916,True
418917,True
418918,False
418919,True
418920,True
418921,True
418922,True
418923,False
418924,False
418925,False
418926,True
418927,False
418928,False
418929,False
418930,True
418931,True
418932,False
418933,True
418934,False
418935,True
418936,True
418937,False
418938,False
418939,True
418940,True
418941,False
418942,True
418943,False
418944,False
418945,True
418946,True
418947,True
418948,True
418949,True
418950,False
418951,True
418952,True
418953,True
418954,True
418955,False
